Date,Close,High,Low,Open,Volume,Company
1998-07-22,1.1028,1.1049,1.0208,1.0677,140216.9,A2A
1998-07-23,1.1492,1.1951,1.0702,1.19,109597.1,A2A
1998-07-24,1.1339,1.1772,1.0957,1.162,59202.8,A2A
1998-07-27,1.0855,1.111,1.0804,1.0957,32314.8,A2A
1998-07-28,1.111,1.139,1.0804,1.0932,21704.5,A2A
1998-07-29,1.0932,1.111,1.0804,1.0957,11053.7,A2A
1998-07-30,1.1008,1.111,1.0855,1.0957,10906.7,A2A
1998-07-31,1.0906,1.1059,1.0804,1.1008,10853.5,A2A
1998-08-03,1.0957,1.1008,1.0651,1.0702,9961.7,A2A
1998-08-04,1.111,1.1186,1.0932,1.0932,7283.8,A2A
1998-08-05,1.111,1.1212,1.0881,1.0881,10754.7,A2A
1998-08-06,1.1441,1.1441,1.1161,1.1212,14610.7,A2A
1998-08-07,1.2027,1.2053,1.1543,1.1569,21486.6,A2A
1998-08-10,1.1721,1.2053,1.1696,1.2027,9437.3,A2A
1998-08-11,1.1467,1.1721,1.1263,1.167,10151.7,A2A
1998-08-12,1.1823,1.1823,1.1543,1.1645,6680.8,A2A
1998-08-13,1.1645,1.1721,1.1416,1.1721,3412.6,A2A
1998-08-14,1.162,1.1721,1.1543,1.1543,2244.7,A2A
1998-08-17,1.139,1.167,1.139,1.1467,2873.0,A2A
1998-08-18,1.1416,1.1645,1.1288,1.1543,6361.6,A2A
1998-08-19,1.1645,1.1645,1.1441,1.1467,5219.0,A2A
1998-08-20,1.1569,1.167,1.1543,1.1569,3541.8,A2A
1998-08-21,1.1288,1.1569,1.1288,1.1518,3597.6,A2A
1998-08-24,1.139,1.139,1.1237,1.1263,3937.1,A2A
1998-08-25,1.1467,1.1467,1.139,1.1467,2997.1,A2A
1998-08-26,1.111,1.1416,1.1084,1.1339,5264.6,A2A
1998-08-27,1.0728,1.1161,1.0677,1.1084,8467.0,A2A
1998-08-28,1.0677,1.0906,0.9989,1.0396,11086.6,A2A
1998-08-31,1.0804,1.0957,1.0651,1.0702,5102.5,A2A
1998-09-01,1.083,1.1059,1.0447,1.0447,9318.2,A2A
1998-09-02,1.1135,1.1212,1.0982,1.1212,7091.3,A2A
1998-09-03,1.1084,1.1212,1.0957,1.1008,7661.3,A2A
1998-09-04,1.111,1.1212,1.1008,1.1033,4388.0,A2A
1998-09-07,1.1212,1.1365,1.1161,1.1212,5135.4,A2A
1998-09-08,1.1365,1.139,1.1237,1.1263,8114.8,A2A
1998-09-09,1.1237,1.1365,1.1161,1.1365,5023.9,A2A
1998-09-10,1.1084,1.1212,1.1033,1.1212,6539.0,A2A
1998-09-11,1.1212,1.1212,1.0855,1.0957,8943.3,A2A
1998-09-14,1.139,1.139,1.1186,1.1212,5130.3,A2A
1998-09-15,1.1467,1.1543,1.1339,1.1365,10164.4,A2A
1998-09-16,1.1492,1.1569,1.1441,1.1441,4945.4,A2A
1998-09-17,1.1186,1.1518,1.1186,1.1288,8489.8,A2A
1998-09-18,1.1237,1.1365,1.1084,1.1212,6637.8,A2A
1998-09-21,1.111,1.1263,1.1033,1.1186,6723.9,A2A
1998-09-22,1.111,1.1314,1.1033,1.1237,5594.0,A2A
1998-09-23,1.1059,1.1212,1.0932,1.1212,5170.9,A2A
1998-09-24,1.1365,1.1467,1.1135,1.1212,8568.3,A2A
1998-09-25,1.1747,1.1747,1.1212,1.1212,10427.9,A2A
1998-09-28,1.167,1.1721,1.1492,1.1721,5272.2,A2A
1998-09-29,1.139,1.1569,1.1314,1.1543,2523.4,A2A
1998-09-30,1.1365,1.1365,1.1161,1.1237,5768.8,A2A
1998-10-01,1.1008,1.1161,1.0855,1.0855,5257.0,A2A
1998-10-02,1.1008,1.1008,1.0728,1.0957,4755.4,A2A
1998-10-05,1.1161,1.1161,1.0728,1.0728,3787.6,A2A
1998-10-06,1.1135,1.1186,1.1033,1.1059,3427.8,A2A
1998-10-07,1.1135,1.1212,1.1084,1.111,1750.6,A2A
1998-10-08,1.1135,1.1161,1.1033,1.111,2634.8,A2A
