Date,Close,High,Low,Open,Volume,Company
1999-07-16,11.2,11.2,10.42,11.0,22462.0,ACEA
1999-07-19,11.12,11.3,10.94,11.2,9477.5,ACEA
1999-07-20,11.54,11.55,10.96,11.0,7327.8,ACEA
1999-07-21,11.5,11.72,11.31,11.4,4191.3,ACEA
1999-07-22,11.35,11.65,11.15,11.5,3277.5,ACEA
1999-07-23,11.19,11.22,10.92,11.09,2781.3,ACEA
1999-07-26,10.99,11.36,10.85,11.1,2358.3,ACEA
1999-07-27,11.0,11.1,10.98,11.0,1164.5,ACEA
1999-07-28,10.93,11.0,10.82,11.0,1117.0,ACEA
1999-07-29,11.31,11.5,10.83,10.83,3570.5,ACEA
1999-07-30,11.95,11.96,11.32,11.34,3836.5,ACEA
1999-08-02,12.1,12.63,12.0,12.1,3546.8,ACEA
1999-08-03,12.19,12.43,12.05,12.19,1834.8,ACEA
1999-08-04,12.01,12.12,11.97,12.08,1160.5,ACEA
1999-08-05,11.65,11.9,11.6,11.9,924.5,ACEA
1999-08-06,11.56,11.89,11.53,11.79,544.8,ACEA
1999-08-09,11.76,12.0,11.41,11.5,605.8,ACEA
1999-08-10,11.72,12.0,11.65,11.65,468.5,ACEA
1999-08-11,11.8,11.9,11.7,11.75,905.3,ACEA
1999-08-12,11.64,11.95,11.62,11.89,656.0,ACEA
1999-08-13,11.72,11.79,11.51,11.63,554.5,ACEA
1999-08-16,11.55,11.85,11.55,11.85,319.0,ACEA
1999-08-17,11.5,11.6,11.45,11.55,688.5,ACEA
1999-08-18,11.19,11.58,11.1,11.5,1242.5,ACEA
1999-08-19,11.14,11.29,11.08,11.25,595.0,ACEA
1999-08-20,11.27,11.34,11.12,11.14,369.0,ACEA
1999-08-23,11.38,11.45,11.3,11.4,373.0,ACEA
1999-08-24,11.21,11.39,11.14,11.35,1097.3,ACEA
1999-08-25,11.5,11.5,11.21,11.34,545.5,ACEA
1999-08-26,11.46,11.57,11.22,11.5,552.0,ACEA
1999-08-27,11.6,11.6,11.26,11.27,295.8,ACEA
1999-08-30,11.45,11.6,11.35,11.58,176.8,ACEA
1999-08-31,11.17,11.36,11.15,11.23,668.8,ACEA
1999-09-01,11.2,11.33,11.17,11.24,559.0,ACEA
1999-09-02,11.04,11.3,10.94,11.26,695.3,ACEA
1999-09-03,11.17,11.55,10.98,11.14,666.3,ACEA
1999-09-06,11.08,11.35,11.08,11.25,269.3,ACEA
1999-09-07,11.07,11.12,10.99,11.1,500.5,ACEA
1999-09-08,10.95,11.07,10.95,11.07,481.5,ACEA
1999-09-09,11.16,11.24,11.0,11.0,538.3,ACEA
1999-09-10,11.19,11.23,11.1,11.22,491.8,ACEA
1999-09-13,11.03,11.21,11.03,11.19,495.5,ACEA
1999-09-14,10.92,11.15,10.92,11.05,706.0,ACEA
1999-09-15,11.0,11.19,10.9,10.92,701.0,ACEA
1999-09-16,10.85,11.0,10.85,10.93,776.3,ACEA
1999-09-17,11.07,11.1,10.9,10.9,814.3,ACEA
1999-09-20,11.05,11.14,10.97,11.07,904.0,ACEA
1999-09-21,11.07,11.1,10.95,11.1,292.3,ACEA
1999-09-22,11.17,11.18,10.92,11.0,950.5,ACEA
1999-09-23,11.48,11.55,11.17,11.2,2891.3,ACEA
1999-09-24,11.25,11.51,11.25,11.35,1062.0,ACEA
1999-09-27,11.36,11.4,11.25,11.26,272.3,ACEA
1999-09-28,11.29,11.34,11.25,11.32,421.3,ACEA
1999-09-29,11.05,11.29,11.02,11.29,416.5,ACEA
1999-09-30,11.06,11.43,11.03,11.04,400.8,ACEA
1999-10-01,11.06,11.32,11.0,11.32,583.3,ACEA
1999-10-04,11.03,11.2,11.01,11.03,195.0,ACEA
1999-10-05,11.05,11.17,10.98,11.06,478.5,ACEA
1999-10-06,11.04,11.24,11.02,11.06,285.8,ACEA
1999-10-07,11.06,11.2,11.06,11.19,404.0,ACEA
1999-10-08,11.25,11.25,11.0,11.1,738.3,ACEA
1999-10-11,11.19,11.2,11.0,11.1,822.0,ACEA
1999-10-12,11.17,11.18,11.0,11.04,414.8,ACEA
1999-10-13,10.97,11.09,10.85,11.0,1099.8,ACEA
1999-10-14,10.8,10.97,10.71,10.96,1282.5,ACEA
1999-10-15,10.59,10.79,10.49,10.77,1269.8,ACEA
1999-10-18,10.47,10.5,10.32,10.32,394.5,ACEA
1999-10-19,10.45,10.6,10.4,10.41,1267.0,ACEA
1999-10-20,10.51,10.58,10.41,10.5,279.3,ACEA
1999-10-21,10.34,10.52,10.29,10.45,807.0,ACEA
1999-10-22,10.54,10.55,10.32,10.32,397.8,ACEA
1999-10-25,10.65,10.79,10.56,10.6,551.5,ACEA
1999-10-26,10.5,10.85,10.49,10.85,324.5,ACEA
1999-10-27,10.33,10.5,10.3,10.41,487.5,ACEA
1999-10-28,10.55,10.6,10.19,10.47,967.0,ACEA
1999-10-29,10.58,10.69,10.46,10.65,621.8,ACEA
1999-11-02,10.38,10.65,10.3,10.54,383.8,ACEA
1999-11-03,10.38,10.48,10.23,10.35,821.5,ACEA
1999-11-04,10.55,10.55,10.3,10.3,818.0,ACEA
1999-11-05,10.49,10.55,10.38,10.5,497.5,ACEA
1999-11-08,10.61,10.61,10.3,10.46,553.3,ACEA
1999-11-09,11.05,11.14,10.75,10.8,2684.8,ACEA
1999-11-10,10.83,11.09,10.76,11.0,867.0,ACEA
1999-11-11,11.25,11.27,10.8,10.82,1642.3,ACEA
1999-11-12,11.27,11.46,11.16,11.25,1000.5,ACEA
1999-11-15,11.38,11.45,11.28,11.28,1936.3,ACEA
1999-11-16,11.27,11.4,11.11,11.4,753.8,ACEA
1999-11-17,11.39,11.43,11.16,11.22,1244.8,ACEA
