Date,Close,High,Low,Open,Volume,Company
2016-04-08,1.54,1.54,1.47,1.47,33.6,ABITARE IN
2016-04-11,1.55,1.552,1.54,1.54,25.2,ABITARE IN
2016-04-12,1.485,1.501,1.485,1.501,39.2,ABITARE IN
2016-04-13,1.44,1.48,1.44,1.48,53.2,ABITARE IN
2016-04-14,1.48,1.5,1.463,1.463,18.2,ABITARE IN
2016-04-15,1.513,1.513,1.455,1.455,30.8,ABITARE IN
2016-04-18,1.51,1.51,1.503,1.51,15.4,ABITARE IN
2016-04-22,1.515,1.515,1.515,1.515,1.4,ABITARE IN
2016-04-25,1.46,1.46,1.46,1.46,1.4,ABITARE IN
2016-04-27,1.516,1.516,1.516,1.516,1.4,ABITARE IN
2016-04-29,1.51,1.511,1.51,1.51,8.4,ABITARE IN
2016-05-03,1.511,1.555,1.51,1.51,8.4,ABITARE IN
2016-05-05,1.5,1.5,1.5,1.5,11.2,ABITARE IN
2016-05-06,1.57,1.57,1.57,1.57,8.4,ABITARE IN
2016-05-09,1.501,1.552,1.501,1.552,7.0,ABITARE IN
2016-05-12,1.5,1.5,1.434,1.45,11.2,ABITARE IN
2016-05-13,1.559,1.559,1.559,1.559,9.8,ABITARE IN
2016-05-16,1.453,1.53,1.453,1.53,11.2,ABITARE IN
2016-05-18,1.41,1.41,1.4,1.401,8.4,ABITARE IN
2016-05-19,1.45,1.45,1.445,1.445,22.4,ABITARE IN
2016-05-20,1.56,1.56,1.425,1.425,19.6,ABITARE IN
2016-05-23,1.501,1.505,1.47,1.5,14.0,ABITARE IN
2016-05-24,1.46,1.46,1.46,1.46,12.6,ABITARE IN
2016-05-25,1.435,1.489,1.43,1.432,15.4,ABITARE IN
2016-05-26,1.42,1.42,1.42,1.42,5.6,ABITARE IN
2016-05-27,1.579,1.579,1.445,1.445,14.0,ABITARE IN
2016-05-30,1.58,1.58,1.556,1.556,5.6,ABITARE IN
2016-06-01,1.55,1.55,1.55,1.55,7.0,ABITARE IN
2016-06-03,1.55,1.55,1.55,1.55,1.4,ABITARE IN
2016-06-06,1.55,1.55,1.55,1.55,36.4,ABITARE IN
2016-06-08,1.55,1.55,1.55,1.55,1.4,ABITARE IN
2016-06-09,1.55,1.55,1.55,1.55,2.8,ABITARE IN
2016-06-10,1.57,1.57,1.55,1.55,5.6,ABITARE IN
2016-06-13,1.54,1.54,1.48,1.525,22.4,ABITARE IN
2016-06-15,1.54,1.54,1.54,1.54,14.0,ABITARE IN
2016-06-16,1.54,1.54,1.54,1.54,4.2,ABITARE IN
2016-06-17,1.59,1.59,1.579,1.579,33.6,ABITARE IN
2016-06-22,1.6,1.6,1.6,1.6,9.8,ABITARE IN
2016-06-24,1.639,1.639,1.61,1.61,4.2,ABITARE IN
2016-06-27,1.6,1.6,1.6,1.6,21.0,ABITARE IN
2016-06-28,1.62,1.62,1.62,1.62,25.2,ABITARE IN
2016-06-30,1.64,1.64,1.64,1.64,5.6,ABITARE IN
2016-07-01,1.66,1.66,1.62,1.65,26.6,ABITARE IN
2016-07-04,1.62,1.62,1.62,1.62,4.2,ABITARE IN
2016-07-05,1.62,1.62,1.62,1.62,144.2,ABITARE IN
